Região,Provincia,Ecorregião Marinha,Zona,x,y
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.572,-30.677
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.776,-30.607
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.881,-30.573
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,24.936999999999998,-30.564
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.072,-30.524
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.224,-30.504
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.318,-30.476999999999997
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.469,-30.462
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.563000000000002,-30.44
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.639,-30.433000000000003
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,25.858,-30.413
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,26.204,-33.193000000000005
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,27.035,-34.466
Agulhas Bank,Agulhas,Temperate Southern Africa,Temperate,28.36,-36.644
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-173.394,55.598
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.55599999999998,54.011
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.67700000000002,54.578
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.104,54.566
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.985,54.56399999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.937,54.521
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.93,54.515
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.905,54.493
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.894,54.483999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.804,54.403999999999996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.803,54.403
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.7,54.312
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.697,54.303000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.53,53.865
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.52900000000002,53.861999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-163.762,50.937
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.017,50.847
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.16,50.82
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.327,50.791000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.507,50.74100000000001
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.74200000000002,50.722
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.81400000000002,50.674
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.935,50.593
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-164.99,50.575
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.19,50.5
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.38400000000001,50.37
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.463,50.343999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-165.80200000000002,50.218999999999994
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-166.21,50.152
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-166.41400000000002,50.106
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-166.56900000000002,50.051
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-166.649,50.034
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-166.782,49.99100000000001
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.21599999999998,49.926
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.304,49.903
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.4,49.848
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.519,49.788000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.704,49.744
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.782,49.715
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-167.912,49.669
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.222,49.556999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.363,49.536
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.455,49.50899999999999
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.54,49.489
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.601,49.474
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-168.90200000000002,49.448
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.06799999999998,49.413000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.146,49.419
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.239,49.401
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.423,49.419
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.49099999999999,49.413000000000004
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.625,49.373999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.745,49.35
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-169.957,49.286
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-170.197,49.26
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-170.37099999999998,49.232
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-170.63,49.153
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-170.81799999999998,49.133
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-170.958,49.099
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-171.252,49.086000000000006
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-171.329,49.086999999999996
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-171.66,48.983999999999995
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-171.83,48.927
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-171.90200000000002,48.912
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-172.31799999999998,48.783
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-172.435,48.77
Aleutian Islands,Cold Temperate Northeast Pacific,Temperate Northern Pacific,Temperate,-172.547,48.742
